Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
358,Jordan Nwora,SF,25,TOT,26,0,11.3,2.2,4.8,0.452,0.8,2.2,0.351,1.4,2.6,0.537,0.532,0.8,0.9,0.875,0.5,1.4,1.9,1.2,0.4,0.1,0.7,1.2,5.9
358,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,0.451,0.6,2,0.306,1.4,2.6,0.565,0.518,0.5,0.6,0.818,0.4,1.4,1.8,1,0.3,0.1,0.7,1.1,5.2
358,Jordan Nwora,SF,25,TOR,8,0,14,2.4,5.3,0.452,1.1,2.6,0.429,1.3,2.6,0.476,0.56,1.5,1.6,0.923,0.6,1.5,2.1,1.5,0.5,0.3,0.9,1.4,7.4
359,Royce O'Neale,SF,30,TOT,50,6,24.3,2.5,6.6,0.387,2,5.3,0.367,0.6,1.2,0.475,0.537,0.3,0.4,0.682,0.8,3.7,4.5,2.8,0.7,0.6,1,2.4,7.3
359,Royce O'Neale,SF,30,BRK,49,6,24.5,2.6,6.6,0.388,2,5.4,0.366,0.6,1.2,0.483,0.537,0.3,0.4,0.682,0.8,3.7,4.5,2.8,0.7,0.6,1,2.4,7.4
359,Royce O'Neale,SF,30,PHO,1,0,11,1,3,0.333,1,2,0.5,0,1,0,0.5,0,0,0,2,2,4,1,1,1,1,2,3
360,Chuma Okeke,SF,25,ORL,31,8,12.1,1.2,3.2,0.378,0.7,2.3,0.31,0.5,0.9,0.556,0.49,0.1,0.2,0.4,0.6,1.7,2.3,0.5,0.2,0.2,0.4,0.6,3.2
361,Josh Okogie,SG,25,PHO,47,11,17.6,1.6,3.7,0.426,0.5,1.7,0.288,1.1,2,0.542,0.491,1.4,1.9,0.719,1.3,1.5,2.8,1.1,0.9,0.4,0.5,1.3,5
362,Onyeka Okongwu,C,23,ATL,52,7,25.7,4,6.6,0.609,0.4,1.2,0.344,3.6,5.4,0.67,0.641,1.8,2.2,0.805,2.7,4.2,6.9,1.3,0.4,1.1,0.9,3,10.2
363,Isaac Okoro,SF,23,CLE,42,24,26.3,3.2,6.5,0.494,1,2.5,0.381,2.2,4,0.566,0.568,1.5,2.2,0.677,1.2,2,3.1,1.9,0.9,0.5,0.8,2,8.8
364,Kelly Olynyk,C,32,TOT,51,8,20.4,2.9,5.3,0.556,0.7,1.7,0.43,2.2,3.6,0.615,0.625,1.6,1.9,0.845,1.3,3.8,5.1,4.4,0.8,0.3,1.6,2.6,8.2
364,Kelly Olynyk,C,32,UTA,50,8,20.4,2.9,5.2,0.562,0.7,1.7,0.429,2.2,3.5,0.626,0.632,1.6,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1
364,Kelly Olynyk,C,32,TOR,1,0,22,4,10,0.4,1,2,0.5,3,8,0.375,0.45,2,2,1,4,2,6,3,3,1,2,0,11
365,Eugene Omoruyi,SF,26,WAS,23,0,7.3,1.8,3.5,0.506,0.3,1,0.273,1.5,2.6,0.593,0.543,1,1.3,0.759,1,1.3,2.2,0.8,0.7,0,0.6,1.3,4.8
366,Cedi Osman,SF,28,SAS,53,1,18.1,2.7,5.7,0.475,1.2,3.2,0.38,1.5,2.5,0.6,0.583,0.6,0.9,0.68,0.4,2.2,2.6,1.7,0.5,0.2,0.6,1.5,7.3
367,Kelly Oubre Jr.,SF,28,PHI,40,29,28.6,5.2,11.3,0.456,1.5,4.6,0.321,3.7,6.7,0.549,0.521,2.2,2.9,0.735,1.2,3.3,4.5,1.1,1.1,0.6,0.9,2.9,13.9
368,Chris Paul,PG,38,GSW,32,11,27.6,3.3,7.7,0.424,1.3,3.7,0.361,1.9,3.9,0.484,0.512,1.1,1.3,0.833,0.3,3.5,3.8,7.2,1.1,0.1,1.2,1.8,8.9
